Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)
create-asset-load-150, 28208, 0, 94.9, 2.62, 0.18, 0.89, 94.8
create-asset-load-225, 33937, 0, 114.0, 3.22, 0.29, 1.12, 113.7
create-asset-load-300, 56556, 0, 190.3, 2.70, 0.15, 1.05, 190.3
create-asset-load-375, 43535, 0, 146.3, 5.09, 0.18, 1.44, 145.9
create-asset-load-450, 39053, 0, 130.7, 5.88, 0.28, 1.94, 130.4
create-asset-load-525, 37739, 0, 126.7, 7.70, 0.40, 2.44, 126.5
create-asset-load-600, 38581, 0, 128.4, 8.65, 0.39, 2.91, 128.1
create-asset-load-675, 39616, 0, 130.9, 9.52, 0.39, 3.17, 130.6
create-asset-load-750, 36737, 0, 122.9, 10.55, 0.60, 3.51, 122.6
create-asset-load-825, 36528, 0, 120.7, 12.42, 0.38, 3.72, 120.5
create-asset-load-900, 39543, 0, 131.8, 12.38, 0.55, 4.03, 131.4
